name,lng,lat
厦门大学(思明校区)祖营楼-航空航天学院, 118.103468, 24.442908
厦门市华昌小学-西门, 118.103333, 24.513394
福州京浪教育培训学校(厦门分校), 118.099269, 24.468672
厦门大学建筑与土木工程学院-建筑系, 118.101775, 24.439341
厦门大学(思明校区)-桂华山楼, 118.10276, 24.443702
厦门市滨北小学-拾穗楼, 118.09795, 24.49438
树道者华昌小学校区, 118.104551, 24.51317
华悦学校-萌星音乐, 118.106861, 24.522413
厦门市仙岳小学-东门, 118.103151, 24.496735
厦门大学(思明校区)-同安楼, 118.101099, 24.443238
寨上小学-馨港少儿之家, 118.106803, 24.528806
厦门市滨北小学-南门, 118.099442, 24.494865
厦门大学(思明校区)同安二号楼-化学工程与生物工程系, 118.101285, 24.443632
厦门大学(思明校区)化学化工学院-西门, 118.100261, 24.444381
厦门大学管理学院EDP中心, 118.10438, 24.444092
厦门市滨北小学-西门, 118.098202, 24.487246
厦门大学(体育教学部), 118.10003, 24.442093
厦门第一中学-西北一门, 118.105905, 24.46645
厦门大学(思明校区)材料学院-生物材料系, 118.10462, 24.446819
厦门大学-接待服务中心, 118.104984, 24.444495
厦门大学公共事务学院-东侧门, 118.105984, 24.439452
厦门市华昌小学-南门, 118.103405, 24.513279
厦门大学-公共外语教学中心, 118.101985, 24.443949
厦门市湖里中学(南山路)-西北门, 118.106576, 24.508409
湖滨小学-北门, 118.098166, 24.472299
外国语学校教师宿舍, 118.098551, 24.483946
厦门大学(思明校区)同安二号楼-化学系, 118.101318, 24.443686
厦门一中一号报告厅, 118.104801, 24.465414
厦门大学(思明校区)同安二号楼-化学生物学系, 118.101294, 24.443633
厦门理工学院接待中心, 118.097451, 24.446562
厦门大学校友总会, 118.105163, 24.445575
厦门市华侨中学-体育馆, 118.098168, 24.451189
厦门市公安局思明分局大学路派出所, 118.105991, 24.446933
中山公园实验小学社区, 118.100809, 24.464255
厦门大学(思明校区)-颂恩楼, 118.103709, 24.443425
福建省厦门第一中学-西北门, 118.10495, 24.465805
厦门大学材料学院材料科学与工程系, 118.104698, 24.447185
厦门大学(思明校区)-庄汉水楼, 118.103023, 24.44395
新东方(厦门学校源昌校区), 118.107394, 24.478356
昱星学校, 118.101362, 24.476463
厦门大学(思明校区)-新闻传播学院, 118.107094, 24.439953
厦门大学(思明校区)-群贤楼, 118.101813, 24.442947
厦门外国语学校-东门, 118.098975, 24.484465
新东方学校(溪岸路), 118.099383, 24.46907
厦门大学(思明校区)-克立楼, 118.10524, 24.444913
厦门大学(思明校区)-卢嘉锡楼, 118.100297, 24.444496
厦门大学(思明校区)-南光楼, 118.105191, 24.440312
厦门第一中学-日新楼, 118.104134, 24.465149
厦门大学(思明校区)-曾呈奎楼, 118.10185, 24.439317
厦门大学海洋与环境学院, 118.101869, 24.439332
厦门大学(思明校区)-管理学院, 118.10414, 24.444277
厦门大学(思明校区)-集美二号楼, 118.102748, 24.442978
厦门大学-马克思主义学院, 118.100431, 24.443556
厦门康桥中学-正门, 118.105503, 24.492667
厦门市湖里中学(南山路)-北门, 118.105174, 24.509794
厦门大学建筑与土木工程学院, 118.101957, 24.439481
厦门大学(思明校区)-科学楼, 118.104758, 24.447369
厦门市华侨中学-南1门, 118.097931, 24.450838
厦门外国语学校-西门, 118.098388, 24.483947
亿丰电商学院, 118.106819, 24.525946
厦门大学(思明校区)-祖营楼, 118.103363, 24.443082
厦门外国语学校附属小学-西门, 118.107081, 24.479786
厦门大学(思明校区)-蔡清洁楼, 118.106326, 24.440507
厦门大学(思明校区)-成智楼, 118.105973, 24.439973
厦门大学(思明校区)-化学化工学院, 118.10025, 24.444271
厦门大学(思明校区)-建文楼, 118.104759, 24.445194
厦门大学人文学院, 118.105226, 24.440292
厦门大学-研究生院, 118.10351, 24.443507
厦门大学(思明校区)-材料学院, 118.10462, 24.446819
厦门大学(思明校区)-化学楼, 118.101028, 24.444722
厦门市滨北小学-东门, 118.099618, 24.49468
厦门市寨上小学-明扬楼, 118.104985, 24.52948
厦门西点培训学校, 118.105411, 24.520657
厦门外国语学校(初中部)-宿舍楼, 118.098446, 24.48474
厦门城市党建学院-东北门, 118.100208, 24.464681
厦门市仙岳小学-北门, 118.102413, 24.497105
厦门市演武小学-北门, 118.098583, 24.445376
厦门市华侨中学-南2门, 118.0975, 24.450752
厦门第一中学-南门, 118.103746, 24.462974
厦门大学集美楼(凌峰路店), 118.102532, 24.442574
厦门大学(思明校区)-同安二号楼, 118.101332, 24.443619
厦门大学(思明校区)-公共事务学院, 118.106085, 24.439729
厦门市湖里中学(南山路)-东门, 118.105363, 24.509664
福建省厦门第一中学-厚德楼, 118.10583, 24.466044
厦门大学(思明校区)-凌峰电镜楼, 118.104696, 24.446872
厦门市寨上小学-南门, 118.10599, 24.528781
幸福路口咖啡学院, 118.09911, 24.468071
厦门第一中学-东门, 118.105956, 24.46636
厦门大学-海外教育学院, 118.106702, 24.440025
厦门市华昌小学-东门, 118.103871, 24.513764
厦门大学建筑与土木工程学院土木工程系-教师工作室, 118.106109, 24.440479
厦门市东渡第二小学-南门, 118.098443, 24.499339
厦门大学(思明校区)祖营楼-航空航天学院, 118.103468, 24.442908
厦门市华昌小学-西门, 118.103333, 24.513394
福州京浪教育培训学校(厦门分校), 118.099269, 24.468672
厦门大学建筑与土木工程学院-建筑系, 118.101775, 24.439341
厦门大学(思明校区)-桂华山楼, 118.10276, 24.443702
厦门市滨北小学-拾穗楼, 118.09795, 24.49438
树道者华昌小学校区, 118.104551, 24.51317
华悦学校-萌星音乐, 118.106861, 24.522413
厦门市仙岳小学-东门, 118.103151, 24.496735
厦门大学(思明校区)-同安楼, 118.101099, 24.443238
寨上小学-馨港少儿之家, 118.106803, 24.528806
厦门市滨北小学-南门, 118.099442, 24.494865
厦门大学(思明校区)同安二号楼-化学工程与生物工程系, 118.101285, 24.443632
厦门大学(思明校区)化学化工学院-西门, 118.100261, 24.444381
厦门大学管理学院EDP中心, 118.10438, 24.444092
厦门市滨北小学-西门, 118.098202, 24.487246
厦门大学(体育教学部), 118.10003, 24.442093
厦门第一中学-西北一门, 118.105905, 24.46645
厦门大学(思明校区)材料学院-生物材料系, 118.10462, 24.446819
厦门大学-接待服务中心, 118.104984, 24.444495
厦门大学公共事务学院-东侧门, 118.105984, 24.439452
厦门市华昌小学-南门, 118.103405, 24.513279
厦门大学-公共外语教学中心, 118.101985, 24.443949
厦门市湖里中学(南山路)-西北门, 118.106576, 24.508409
湖滨小学-北门, 118.098166, 24.472299
外国语学校教师宿舍, 118.098551, 24.483946
厦门大学(思明校区)同安二号楼-化学系, 118.101318, 24.443686
厦门一中一号报告厅, 118.104801, 24.465414
厦门大学(思明校区)同安二号楼-化学生物学系, 118.101294, 24.443633
厦门理工学院接待中心, 118.097451, 24.446562
厦门大学校友总会, 118.105163, 24.445575
厦门市华侨中学-体育馆, 118.098168, 24.451189
厦门市公安局思明分局大学路派出所, 118.105991, 24.446933
中山公园实验小学社区, 118.100809, 24.464255
福建省厦门第一中学-振万教学楼, 118.102994, 24.464258
厦门大学材料学院材料科学与工程系, 118.104698, 24.447185
厦门大学(思明校区)-化学楼, 118.101028, 24.444722
厦门大学(思明校区)-庄汉水楼, 118.103023, 24.44395
新东方(厦门学校源昌校区), 118.107394, 24.478356
厦门大学(思明校区)-材料学院, 118.10462, 24.446819
厦门外国语学校-东门, 118.098975, 24.484465
厦门大学(思明校区)-克立楼, 118.10524, 24.444913
厦门大学(思明校区)-卢嘉锡楼, 118.100297, 24.444496
厦门第一中学-日新楼, 118.104134, 24.465149
厦门大学(思明校区)-管理学院, 118.10414, 24.444277
厦门康桥中学-正门, 118.105503, 24.492667
厦门市湖里中学(南山路)-北门, 118.105174, 24.509794
厦门大学(思明校区)-建文楼, 118.104759, 24.445194
厦门大学(思明校区)-科学楼, 118.104758, 24.447369
厦门市华侨中学-南1门, 118.097931, 24.450838
厦门外国语学校-西门, 118.098388, 24.483947
厦门外国语学校附属小学-西门, 118.107081, 24.479786
厦门大学(思明校区)-化学化工学院, 118.10025, 24.444271
厦门第一中学-东门, 118.105956, 24.46636
亿丰电商学院, 118.106819, 24.525946
厦门市滨北小学-东门, 118.099618, 24.49468
厦门西点培训学校, 118.105411, 24.520657
厦门外国语学校(初中部)-宿舍楼, 118.098446, 24.48474
厦门城市党建学院-东北门, 118.100208, 24.464681
厦门市仙岳小学-北门, 118.102413, 24.497105
厦门市演武小学-北门, 118.098583, 24.445376
厦门市华侨中学-南2门, 118.0975, 24.450752
厦门第一中学-南门, 118.103746, 24.462974
幸福路口咖啡学院, 118.09911, 24.468071
厦门大学(思明校区)基金楼-外文学院教学实验中心, 118.102065, 24.443772
厦门市湖里中学(南山路)-东门, 118.105363, 24.509664
福建省厦门第一中学-厚德楼, 118.10583, 24.466044
厦门大学(思明校区)-凌峰电镜楼, 118.104696, 24.446872
厦门市寨上小学-南门, 118.10599, 24.528781
厦门市寨上小学-明扬楼, 118.104985, 24.52948
厦门市华昌小学-东门, 118.103871, 24.513764
厦门市东渡第二小学-南门, 118.098443, 24.499339
厦门市华昌小学-西门, 118.103333, 24.513394
福州京浪教育培训学校(厦门分校), 118.099269, 24.468672
厦门大学(思明校区)-桂华山楼, 118.10276, 24.443702
厦门市滨北小学-拾穗楼, 118.09795, 24.49438
树道者华昌小学校区, 118.104551, 24.51317
厦门一中学生公寓, 118.104322, 24.464903
华悦学校-萌星音乐, 118.106861, 24.522413
厦门市仙岳小学-东门, 118.103151, 24.496735
寨上小学-馨港少儿之家, 118.106803, 24.528806
厦门市滨北小学-南门, 118.099442, 24.494865
厦门大学(思明校区)化学化工学院-西门, 118.100261, 24.444381
厦门大学管理学院EDP中心, 118.10438, 24.444092
厦门外国语学校-图书馆, 118.098647, 24.483674
厦门市滨北小学-西门, 118.098202, 24.487246
厦门第一中学-西北一门, 118.105905, 24.46645
厦门大学(思明校区)材料学院-生物材料系, 118.10462, 24.446819
厦门大学材料学院-圣诺楼, 118.104456, 24.446412
厦门市湖里中学-西1门, 118.104074, 24.508598
厦门大学-接待服务中心, 118.104984, 24.444495
厦门理工学院(思明校区)-托管园, 118.097724, 24.444748
厦门一中学生公寓-东南门, 118.10435, 24.465156
厦门大学(思明校区)化学化工学院-北门, 118.1009, 24.444762
厦门市华昌小学-南门, 118.103405, 24.513279
厦门大学-公共外语教学中心, 118.101985, 24.443949
厦门市湖里中学(南山路)-西北门, 118.106576, 24.508409
湖滨小学-北门, 118.098166, 24.472299
